"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"

"CONNECT_TOYPAD","X360","Framework","Please connect the Toy Pad to the Xbox 360 console.","Please connect the Toy Pad to the Xbox 360 console.","Veuillez brancher le Toy¬Pad à la console Xbox 360.","Bitte das Toy Pad mit der Xbox 360 Konsole verbinden.","Vær venlig at slutte din Toy Pad til Xbox 360 konsollen.","Veuillez brancher le Toy¬Pad à la console Xbox 360.","Sluit de Toy Pad aan op de Xbox 360-console.","Conecta el Toy Pad a la consola Xbox 360."
"CONNECT_TOYPAD","PS3","Framework","Please connect the Toy Pad to the system.","Please connect the Toy Pad to the system.","Veuillez brancher le Toy¬Pad au système.","Bitte das Toy Pad mit dem System verbinden.","Vær venlig at slutte din Toy Pad til systemet.","Veuillez brancher le Toy¬Pad au système.","Sluit de Toy Pad aan op het systeem.","Conecta el Toy Pad al sistema."
"CONNECT_TOYPAD","PC","Framework","Please connect the Toy Pad to the computer.","Please connect the Toy Pad to the computer.","Veuillez brancher le Toy¬Pad à l'ordinateur.","Bitte das Toy Pad mit dem Computer verbinden.","Vær venlig at slutte din Toy Pad til computeren.","Veuillez brancher le Toy¬Pad à l'ordinateur.","Sluit de Toy Pad aan op de computer.","Conecta el Toy Pad a la computadora."
"UNDERLIGHTSCUSTOMISER_NAME","All","LegoAPI","Under Light Chooser","Under Light Chooser","Sélectionneur de lumières sous-carrosserie","Unterbodenbeleuchtung","Underlys-tilpasser","Sélectionneur de lumières sous-carrosserie","Onderlicht kiezen","Selector de luz inferior"
"CS_WickedWitch_WhateverItIs","All","Subtitle","Wicked Witch: Whatever it is!","Wicked Witch: Whatever it is!","Méchante Sorcière : Même si j'ignore ce que c'est¬!","Böse Hexe: Was auch immer es ist.","Hvad det så end er!","Wicked Witch : Même si j'ignore ce que c'est¬!","Boze heks: Wat het ook moge zijn.","Bruja Mala: ¡Lo que quiera que sea!"
"PORTAL_QUEST00_ACT_PAGE1","All","Game","This next test involves ''~5Aperture Science Material Wealth Incrementation Spheres~~''. Based on its current data detailing your pathological compulsion to collect everything in sight, the Enrichment Centre has every confidence in your success.","This next test involves ''~5Aperture Science Material Wealth Incrementation Spheres~~''. Based on its current data detailing your pathological compulsion to collect everything in sight, the Enrichment Center has every confidence in your success.","GLaDOS : Le test suivant implique des ~5sphères d'accroissement de richesses matériel Aperture Science~~. En s'appuyant sur des données trahisant votre besoin compulsif de collectionner tout et n'importe quoi, le Centre d'apprentissage a toute confiance en votre réussite.","Der nächste Test umfasst ~5„Aperture-Wohlstandsansammlungskugeln“.~~ Aufgrund der Daten bezüglich deines pathologischen Zwangs, alles in deiner Sichtweite aufzusammeln, hat das Enrichment Centre großes Vertrauen in deinen Erfolg.","Den næste test involverer ~5Aperture Sciences Materialistisk Formue Optællingskugler~~. Baseret på den nuværende data vedr. din patologiske tvangsfølelse omkring det at skulle samle alt du kan se op, så har Berigelsescenteret stor tillid til din success.","GLaDOS : Le test suivant implique des ~5sphères d'accroissement de richesses matériel Aperture Science~~. En s'appuyant sur des données trahisant votre besoin compulsif de collectionner tout et n'importe quoi, le Centre d'apprentissage a toute confiance en votre réussite.","De volgende test draait om '~5Materiële rijkdomvermeerderingsbollen van Aperture Science~~'. Op basis van de huidige gegevens waarin melding wordt gemaakt van jouw pathetische drang om alles wat je ziet te verzamelen, heeft het Verrijkingscentrum alle vertrouwen in je slagingskansen.","Esta siguiente prueba involucra ~5esferas para incremento de bienes materiales de Aperture Science~~. Según los datos actuales que detallan tu compulsión patológica por recolectar todo a la vista, el centro de enriquecimiento confía en tu éxito."
"LEVEL_8MIDDLEEARTHC","All","Level","Riddle on the Citadel","Riddle on the Citadel","Énigme sur la citadelle","Rätsel in der Zitadelle","Gåden På Citadellet","Énigme sur la citadelle","Raadsel op de citadel","Acertijo en la ciudadela"
"TI_COMBATPET","All","LegoAPI","Guardian","Guardian","Gardien","Beschützer","Vogter","Gardien","Wachter","Guardián"
"LEVEL_4DOCTORWHOD","All","Level","Rise of the Daleks","Rise of the Daleks","L'essor des Dalek","Aufstieg der Daleks","Dalekkerne Angriber","L'essor des Dalek","Opkomst van de Daleks","La rebelión de los dalek"
